naslov,avtor,# novih poglavij,# novih besed,# poglavij,# besed,datum objave novega poglavja,datum prve objave,teden v katerem je bilo objavljeno novo poglavje,je quest,je zaključen 
Lawless,Ceasare,1,2500,2,7300,2018-01-13,2018-01-09,2018-01-13,False,False
The name of the worm,Pef,1,656,87,69000,2018-01-13,2018-08-03,2018-01-13,False,False
Nebulous,Eotyrannus,1,1400,4,5800,2018-01-13,2018-12-30,2018-01-13,False,False
Taylor Smash!,Harper Potts,1,2200,8,18000,2018-01-14,2018-12-03,2018-01-13,False,False
Unrefined Metal,arthurh3535,1,2000,12,42000,2018-01-13,2018-08-12,2018-01-13,False,False
Browbeat&apos;s Quest for Relevancy!,freebiewitz,2,1300,7,4200,2018-01-13,2018-01-10,2018-01-13,True,False
Queen&apos;s Gambit,LyghtCrye,11,12000,11,12000,2018-01-13,2018-01-09,2018-01-13,True,False
Radioactive Shards,Death Doggz,1,562,2,996,2018-01-13,2018-01-10,2018-01-13,True,False
To Reign in Heaven,cyrileom,1,11000,217,510000,2018-01-13,2016-12-12,2018-01-13,True,False
Convergent Evolution,thelightwithinrocks,1,3000,1,3700,2018-01-06,2018-01-05,2018-01-06,False,False
It&apos;s Always Sunny in Brockton Bay,thot,3,2700,3,2700,2018-01-06,2018-01-06,2018-01-06,False,False
Vaults Of Mars | Snippet Thread,Omnissah,1,1000,1,1000,2018-01-06,2018-01-06,2018-01-06,False,False
Void Jump V3,TitanBreaker,1,1000,1,1000,2018-01-06,2018-01-06,2018-01-06,False,False
Zeal,Masked Demise,1,3300,1,3300,2018-01-06,2018-01-06,2018-01-06,False,False
Acropolis,ajf115,1,2000,1,2000,2018-01-06,2018-01-06,2018-01-06,False,True
Black Bitch,Ceasare,1,1100,1,1100,2018-01-06,2018-01-06,2018-01-06,False,True
Catastrophe,Ceasare,1,5100,1,5100,2018-01-06,2018-01-06,2018-01-06,False,True
Time After Time,IAmARobot,1,740,1,740,2018-01-06,2018-01-06,2018-01-06,False,True
Troll Endbringer Snippet(s),Wrin,2,1000,2,1000,2018-01-06,2018-04-24,2018-01-06,False,True
My King of Heroes,Ten Tailed God,1,1500,5,9400,2018-01-06,2018-08-20,2018-01-06,False,False
Don&apos;t Call Me a Matador,PaxMatt,1,3800,3,10000,2018-01-06,2018-11-23,2018-01-06,False,False
A Dovahkiin without Dragon Souls to spend.,freebiewitz,48,141000,48,141000,2018-01-06,2018-04-08,2018-01-06,False,False
Fling a Light,UltraRedSpectrum,1,448,13,43000,2018-01-06,2016-02-25,2018-01-06,False,False
Going Native,Dartz,1,4800,18,84000,2018-01-06,2015-04-23,2018-01-06,False,False
A Golden Romance Dawn!,OrcPrincess,1,1600,7,19000,2018-01-06,2018-01-15,2018-01-06,False,False
Her Eyes,UsurperOfTruth,1,1900,2,4100,2018-01-06,2018-12-22,2018-01-06,False,False
Troublemakers,REAPER35,6,10000,16,26000,2018-01-06,2018-12-26,2018-01-06,False,False
Seraph,RedFalcon,1,2600,5,18000,2018-01-06,2018-05-24,2018-01-06,False,False
Shopkeeper,Melakias,14,24000,14,24000,2018-01-06,2016-10-29,2018-01-06,False,False
This is NOT a crack fic!,Grim Lord,1,1800,66,164000,2018-01-06,2018-08-20,2018-01-06,False,False
Munchkin Quest,Fenrizwolf,1,5900,14,34000,2018-01-06,2018-12-11,2018-01-06,True,False
Bloody Casanova!,T0PH4T,2,4100,2,4100,2017-12-30,2017-12-30,2017-12-30,False,False
Is That allowed?,Atomic44,1,2400,1,2400,2017-12-30,2017-12-30,2017-12-30,False,False
LochÃ³ros,Anime PJ,1,7400,1,7400,2017-12-30,2017-12-30,2017-12-30,False,False
Monochrome,SkoripiElda,2,12000,2,12000,2017-12-30,2017-12-30,2017-12-30,False,False
"Omnipotence, thereâs an app for that...",Chara Dreemurr,1,2200,1,2200,2017-12-30,2017-12-30,2017-12-30,False,False
Superheroes But Homestuck,canaryrose,1,1600,1,1600,2017-12-30,2017-12-30,2017-12-30,False,False
Crush,SouthernWind,5,4300,5,4300,2017-12-30,2017-12-30,2017-12-30,False,True
Ozymandias,ajf115,1,1200,1,1200,2017-12-30,2017-12-30,2017-12-30,False,True
She Who Devours the World,ajf115,1,1400,1,1400,2017-12-30,2017-12-30,2017-12-30,False,True
The Hermit I,dgj212,1,4000,1,4000,2017-12-30,2017-12-30,2017-12-30,False,True
Downtrodden,IAmARobot,1,3200,1,3200,2017-12-30,2017-12-30,2017-12-30,False,True
2 Dragons,LyghtCrye,1,1100,1,1100,2017-12-30,2017-12-30,2017-12-30,False,True
Insomnia Bay,LyghtCrye,1,793,1,793,2017-12-30,2017-12-30,2017-12-30,False,True
Knight Princess Errant,Lord Mendasuit,1,3000,1,3000,2017-12-30,2017-12-30,2017-12-30,False,True
Quiet,SouthernWind,4,5600,4,5600,2017-12-30,2017-11-09,2017-12-30,False,True
Powers For Fun And Profit,TheBeardedOne,1,2100,1,2100,2017-12-30,2017-12-30,2017-12-30,False,True
Water,Red Dragon (Red_Dragonn),1,1300,1,1300,2017-12-30,2017-12-30,2017-12-30,False,True
Drider-Girl and the Head-Cannon of DOOM,SamPardi,1,988,7,16000,2017-12-30,2015-02-26,2017-12-30,False,False
Hunting Wyverian,X0ll0X,1,5000,24,109000,2017-12-30,2016-06-26,2017-12-30,False,False
Magical Tinker Lyrical Taylor,Hoyden,1,938,36,35000,2017-12-30,2015-05-31,2017-12-30,False,False
A Mild Mannered Hero,kenmadragon,1,3000,5,11000,2017-12-30,2017-08-29,2017-12-30,False,False
Headway/Nexus,SynchronizedWritersBlock,1,9200,94,286000,2017-12-30,2015-09-05,2017-12-30,True,False
Kintsugi: Claws,BeaconHill,1,1600,2,3000,2017-12-30,2017-12-27,2017-12-30,False,False
The Bodega,Verlotorium,1,3000,20,41000,2017-12-30,2017-10-04,2017-12-30,False,False
BROBed-Arc One: Shadows,Rajvik_wolfboy,1,3900,37,46000,2017-12-30,2014-12-07,2017-12-30,False,False
Choices,ghostofthefallen,1,3500,28,82000,2017-12-30,2017-09-16,2017-12-30,False,False
A Diary from the Golden Age.,Ardyn Lucis Caelum,1,363,2,630,2017-12-30,2017-12-29,2017-12-30,False,False
A Dragon By Any Other Nameâ¦,TheRealChuckNorris,1,1000,2,1700,2017-12-30,2017-12-29,2017-12-30,False,False
Five Nights in Brockton Bay,Emissary,1,573,8,5300,2017-12-30,2017-12-16,2017-12-30,False,False
Bomb Squad,Harbin,1,868,2,1900,2017-12-30,2017-12-29,2017-12-30,False,False
Kill La Khepri,NotZiz,1,7800,38,215000,2017-12-30,2016-07-28,2017-12-30,False,False
Reroll and Rebirth:,Mist of Rainbows,1,4500,5,41000,2017-12-30,2017-12-24,2017-12-30,False,False
Splice of Life,Deus_Ex_Transhuman,1,4600,7,32000,2017-12-30,2017-10-18,2017-12-30,False,False
Stone Spiders,Emissary,1,351,35,23000,2017-12-30,2017-10-10,2017-12-30,False,False
Tales From Earth Bet.,REAPER35,5,10000,20,42000,2017-12-30,2017-12-23,2017-12-30,False,False
Emma Barnes Syndrome,BMW,1,908,13,18000,2017-12-30,2017-10-11,2017-12-30,True,False
Ever Onwards,TigerTitian,2,1900,7,11000,2017-12-30,2017-12-16,2017-12-30,True,False
Mad World,Pheoni,1,904,4,2100,2017-12-30,2017-12-23,2017-12-30,True,False
Case 52,Chara Dreemurr,1,5300,1,5300,2017-12-23,unknown,2017-12-23,False,False
Cauldron Carols,ellfangor8,3,857,3,857,2017-12-23,unknown,2017-12-23,False,False
The Last of Us,Ceasare,1,1900,1,1900,2017-12-23,unknown,2017-12-23,False,False
Five Vials,TreeFrogSoup,4,5700,4,5700,2017-12-23,unknown,2017-12-23,False,False
Om Mani Padme Hum,Mglakoe,1,1000,1,1000,2017-12-23,unknown,2017-12-23,False,False
Outsider Chronicles: White Dragon of Brockton,Dis Lexic,2,5700,5,13000,2017-12-23,unknown,2017-12-23,False,False
Reconfiguration (CYOASI),Mystikoa,2,1100,5,5500,2017-12-23,unknown,2017-12-23,False,False
Yuki Yuna is a Hero: Worm Chapter,Echo0100,1,1000,1,1000,2017-12-23,unknown,2017-12-23,False,False
"Snips, Snails, and Newter Tails",6thfloormadness,1,3300,1,3300,2017-12-23,unknown,2017-12-23,False,True
Grand Coordinator,Ceasare,1,1400,1,1400,2017-12-23,unknown,2017-12-23,False,True
...And the Joker is Wild,TheRealChuckNorris,1,894,1,894,2017-12-23,unknown,2017-12-23,False,True
Coil?,Faracre,1,844,1,844,2017-12-23,unknown,2017-12-23,False,True
RUN,TheRealChuckNorris,1,1100,1,1100,2017-12-23,unknown,2017-12-23,False,True
Naughty List,Harbin,1,612,1,612,2017-12-23,unknown,2017-12-23,False,True
Taylorâs Lament,Harper Potts,1,1300,1,1300,2017-12-23,unknown,2017-12-23,False,True
Memorial,ValorXIV,1,1000,1,1000,2017-12-24,unknown,2017-12-23,False,True
Read the Fucking Manual,Lord Mendasuit,1,1100,1,1100,2017-12-23,unknown,2017-12-23,False,True
On A Lark,skyrunner,1,2300,1,2300,2017-12-23,unknown,2017-12-23,False,True
Thesaurus&apos; House of Whimsy,Thesaurus,2,1300,2,1300,2017-12-23,unknown,2017-12-23,False,True
The Whiteboard,tmthesaurus,2,852,2,852,2017-12-23,unknown,2017-12-23,False,True
Avatar,Omnissah,12,29000,12,29000,2017-12-23,unknown,2017-12-23,False,False
Cerebral Vectors I,CluteraNipples,1,1600,2,2800,2017-12-23,unknown,2017-12-23,False,False
The Entangled Web,ShawnMorgan,1,10000,6,24000,2017-12-23,unknown,2017-12-23,False,False
A Hero&apos;s Journey,S0ngD0g13,3,2100,6,4000,2017-12-23,unknown,2017-12-23,False,False
Ready Player One,Janusi,56,102000,56,102000,2017-12-23,unknown,2017-12-23,False,False
Heaven,Ryuugi,1,1300,2,5300,2017-12-23,unknown,2017-12-23,False,False
Umbram Mortis,LD1449,1,2300,10,24000,2017-12-23,unknown,2017-12-23,False,False
Distress Quest!,frustratedFreeboota,50,45000,50,45000,2017-12-23,unknown,2017-12-23,True,False
Another Path,Selector,1,10000,6,67000,2017-12-23,unknown,2017-12-23,False,False
BURN!,WhoAmEye,1,3000,13,29000,2017-12-23,unknown,2017-12-23,False,False
Hoarding Secrets,Harbin,1,2400,2,4500,2017-12-23,unknown,2017-12-23,False,False
Operation Heartbreak,LewisMistreated,1,888,19,18000,2017-12-23,unknown,2017-12-23,False,False
Coming up with Good Titles is a Pain,Rukaio Alter,1,4900,3,15000,2017-12-23,unknown,2017-12-23,False,False
Scenes From a Glass Mind,Glasshand,1,899,7,6300,2017-12-23,unknown,2017-12-23,False,False
Spare Strings,MkZero,2,2600,7,11000,2017-12-23,unknown,2017-12-23,False,False
Step One,skyrunner,1,75,4,14000,2017-12-23,unknown,2017-12-23,False,False
Stranger than Brockton,Victorian_Irish,2,8000,51,204000,2017-12-23,unknown,2017-12-23,False,False
T Time,Fredo,3,4300,8,10000,2017-12-23,unknown,2017-12-23,False,False
Unbreakable,Allergic_2_Bulletz,1,5200,21,79000,2017-12-23,unknown,2017-12-23,False,False
You Needed Opponents With Gravitas,Noobsauce,1,5600,21,70000,2017-12-23,unknown,2017-12-23,False,False
The Cycle of Deicide,cyrileom,1,273,105,156000,2017-12-23,unknown,2017-12-23,True,False
The Drafting,teamfireyleader,20,38000,20,38000,2017-12-23,unknown,2017-12-23,True,False
Badass,aguy,5,8700,5,8700,2017-12-16,unknown,2017-12-16,False,False
Hi! I&apos;m the new Security Guard...,SneakyDevil,1,638,1,638,2017-12-16,unknown,2017-12-16,False,False
Elysium,Iarna,1,3700,1,3700,2017-12-16,unknown,2017-12-16,False,False
Quest for the Grail,Lord Mendasuit,2,2700,2,2700,2017-12-16,unknown,2017-12-16,False,False
A New Hand,DrVahlenValen,3,4300,3,4300,2017-12-16,unknown,2017-12-16,False,False
Outsider Chronicles: Phantom Thief,Dis Lexic,4,11000,4,11000,2017-12-16,unknown,2017-12-16,False,False
Singer,Planetary Tennis,1,456,1,456,2017-12-16,unknown,2017-12-16,False,False
CK2,Planetary Tennis,1,2700,1,2700,2017-12-16,unknown,2017-12-16,True,False
"In his cafe in R&apos;lyeh, hipster Cthulhu sips Kombucha.",Mgunh1,2,1200,2,1200,2017-12-16,unknown,2017-12-16,True,False
What Is Hard,Laryna6,1,1600,5,12000,2017-12-16,unknown,2017-12-16,False,True
The Demons Journey Home,Ceasare,1,610,1,610,2017-12-16,unknown,2017-12-16,False,True
What&apos;s she gonna do? Buzz at me?,Ceasare,1,486,1,486,2017-12-16,unknown,2017-12-16,False,True
Alternate Reality Mystery Person Exchanges Her Doomed Reality for Another,Faracre,1,1400,1,1400,2017-12-16,unknown,2017-12-16,False,True
KING,TheRealChuckNorris,1,723,1,723,2017-12-16,unknown,2017-12-16,False,True
Motivator!Taylor Will to Power,Faracre,5,9700,5,9700,2017-12-16,unknown,2017-12-16,False,True
Obligatory SI That No One Should Have Wanted,Faracre,1,1100,1,1100,2017-12-16,unknown,2017-12-16,False,True
Omnisicient!Taylor Dances to Forget,Faracre,1,949,1,949,2017-12-16,unknown,2017-12-16,False,True
Oxygen!Taylor Takes Your Breath Away,Faracre,1,1700,1,1700,2017-12-16,unknown,2017-12-16,False,True
Protagonist!Taylor - She&apos;s Got the Role of a Lifetime,Faracre,1,1200,1,1200,2017-12-16,unknown,2017-12-16,False,True
The Dude!Eidolon - You what?,Faracre,1,221,1,221,2017-12-16,unknown,2017-12-16,False,True
Tricksy!Taylor - Is she serious?,Faracre,1,504,1,504,2017-12-16,unknown,2017-12-16,False,True
Vigilance!Tinker!Taylor - Hide and Seek,Faracre,1,2100,1,2100,2017-12-16,unknown,2017-12-16,False,True
Get to the Point,IAmARobot,1,2700,1,2700,2017-12-16,unknown,2017-12-16,False,True
Fluid Dynamics,Iarna,1,2500,1,2500,2017-12-16,unknown,2017-12-16,False,True
Power,Selector,1,18000,1,18000,2017-12-16,unknown,2017-12-16,False,True
Delinquency in Brockton Bay,REAPER35,1,1500,101,193000,2017-12-16,unknown,2017-12-16,False,False
SERA,TheRealChuckNorris,1,824,4,3800,2017-12-16,unknown,2017-12-16,False,False
Fear,Ryuugi,18,61000,18,61000,2017-12-16,unknown,2017-12-16,False,False
Outsider Chronicles: Needless Hero,Dis Lexic,1,2600,15,38000,2017-12-16,unknown,2017-12-16,False,False
Skitter goes to shambles,TimeL0rd,1,1200,2,1800,2017-12-16,unknown,2017-12-16,False,False
Star gazing,Selector,1,10000,4,46000,2017-12-16,unknown,2017-12-16,False,False
Case 53,Mkkt Bkkt,1,499,31,34000,2017-12-16,unknown,2017-12-16,True,False
Someone got a shard into their brain,Milpy,2,6200,4,8400,2017-12-16,unknown,2017-12-16,True,False
A Higher Orbit - The Coup,Hopeful Penguin,1,4300,1,4300,2017-12-09,unknown,2017-12-09,False,False
Master Gi and the Power of Illusion,gavinjon,2,1400,2,1400,2017-12-09,unknown,2017-12-09,False,False
Simon Says,KAMEN RIDER CHROME,1,672,1,672,2017-12-09,unknown,2017-12-09,False,False
Work Placement,Hopeful Penguin,7,9400,7,9400,2017-12-09,unknown,2017-12-09,False,False
"Changing, and being Changed: Player Insert",Walkers,2,1000,2,1000,2017-12-09,unknown,2017-12-09,True,False
A Primarch on Earth Bet,Death Doggz,2,920,2,920,2017-12-09,unknown,2017-12-09,True,False
Path to Munchies,Merle Corey,17,49000,17,49000,2017-12-09,unknown,2017-12-09,False,True
Mutually Assured Destruction (Or Friendship),6thfloormadness,1,3000,1,3000,2017-12-09,unknown,2017-12-09,False,True
F.B.I: Special Parahuman Investigation Unit or SPUI: Brockton,Ceasare,1,1600,1,1600,2017-12-09,unknown,2017-12-09,False,True
Welcome Home,Ceasare,1,716,1,716,2017-12-09,unknown,2017-12-09,False,True
TattleZiz (a story sketch),Dyranum,1,748,1,748,2017-12-09,unknown,2017-12-09,False,True
The Stack of Paper is Heavier than the Sword,Dyranum,1,1200,1,1200,2017-12-09,unknown,2017-12-09,False,True
Three Short Drabbles Written on Prompts,Dyranum,1,940,1,940,2017-12-09,unknown,2017-12-09,False,True
"Hyliian&apos;s Snips: One Shot, One Kill",Hyliian,1,579,1,579,2017-12-09,unknown,2017-12-09,False,True
Wish Fulfillment,IAmARobot,2,4000,2,4000,2017-12-09,unknown,2017-12-09,False,True
Death&apos;s Head: The New Empire,gideon020,6,16000,6,16000,2017-12-09,unknown,2017-12-09,False,False
Fighting Grimderp with Plasma and Anger Issues,RagnarokAscendant,1,1400,9,12000,2017-12-09,unknown,2017-12-09,False,False
Golden Midnight Project,Arthur Hansen,1,1600,5,12000,2017-12-09,unknown,2017-12-09,False,False
Grim Tidings,Pharus,1,2100,7,19000,2017-12-09,unknown,2017-12-09,False,False
A New Way to Play,Soundlesssteps,1,11000,8,53000,2017-12-09,unknown,2017-12-09,False,False
Out Of Depth,Momo,1,1300,2,4100,2017-12-09,unknown,2017-12-09,False,False
Traveler&apos;s Guide to the Multiverse,ManMagnificent,1,13000,20,149000,2017-12-09,unknown,2017-12-09,False,False
When your Mother is the Simurgh...,CrunchySharpie,17,52000,17,52000,2017-12-09,unknown,2017-12-09,False,False
Pawn,Foxtail,9,29000,9,29000,2017-12-09,unknown,2017-12-09,True,False
Fireflies - Worm AU,kosmos00,2,2300,2,2300,2017-12-02,unknown,2017-12-02,False,False
Guardian,Beowoof,2,6600,2,6600,2017-12-02,unknown,2017-12-02,False,False
A Very Cauldron Christmas,maroon_sweater,1,1000,1,1000,2017-12-02,unknown,2017-12-02,False,False
Wild Tiger,KnightofTempest,2,2600,2,2600,2017-12-02,unknown,2017-12-02,False,False
The Body Shop,billymorph,1,2600,1,2600,2017-12-02,unknown,2017-12-02,False,True
Foxy Worm,Ceasare,1,1500,1,1500,2017-12-02,unknown,2017-12-02,False,True
Nemesis,Ceasare,1,1300,1,1300,2017-12-02,unknown,2017-12-02,False,True
The girl with the dragon tattoo,Ceasare,1,1300,1,1300,2017-12-02,unknown,2017-12-02,False,True
Firewall,QAI521,1,7600,1,7600,2017-12-02,unknown,2017-12-02,False,True
Guildgate,SevenEyes,1,1000,1,1000,2017-12-02,unknown,2017-12-02,False,True
The Great Escape,Harbin,1,6100,1,6100,2017-12-02,unknown,2017-12-02,False,True
Lily,Discreet,1,5700,1,5700,2017-12-02,unknown,2017-12-02,False,True
Death is an Inconvenience,Lord Mendasuit,1,2400,1,2400,2017-12-02,unknown,2017-12-02,False,True
[Art] Multi-Track Drifting,Pericardium,1,103,1,103,2017-12-02,unknown,2017-12-02,False,True
Artificial Stigma,ReiZetsubou,1,1800,1,1800,2017-12-02,unknown,2017-12-02,False,True
Nano Composite Magical AI Lily,ReiZetsubou,1,2200,1,2200,2017-12-02,unknown,2017-12-02,False,True
The Master Race,ReiZetsubou,1,2300,1,2300,2017-12-02,unknown,2017-12-02,False,True
42,Rukaio Alter,1,6100,1,6100,2017-12-02,unknown,2017-12-02,False,True
Great-Aunt Peggy Comes to Visit,Rukaio Alter,1,4600,1,4600,2017-12-02,unknown,2017-12-02,False,True
,TheBeardedOne,1,2300,1,2300,2017-12-02,unknown,2017-12-02,False,True
World Ends With Or Without You,genericQuackpot,1,2000,1,2000,2017-12-02,unknown,2017-12-02,False,True
Agents and SHIELD,Puzzle,1,2400,12,32000,2017-12-02,unknown,2017-12-02,False,False
Anchiale,ajf115,1,1000,2,2000,2017-12-02,unknown,2017-12-02,False,False
The Attendant,Aethersprite,1,1500,10,19000,2017-12-02,unknown,2017-12-02,False,False
The Bees: Dead-Tides,Jyn Ryvia,1,1600,4,5000,2017-12-02,unknown,2017-12-02,False,False
DADA,frustratedFreeboota,1,0,8,8500,2017-12-02,unknown,2017-12-02,False,False
The Day of the Tentacle,Faracre,1,2200,25,63000,2017-12-02,unknown,2017-12-02,False,False
The Girl of Tomorrow,Thuktun Flishithy,1,8700,81,208000,2017-12-02,unknown,2017-12-02,False,False
The Hand You&apos;re Dealt,failbird105,3,3700,3,3700,2017-12-02,unknown,2017-12-02,False,False
In the beginning,Pef,6,5500,16,13000,2017-12-02,unknown,2017-12-02,False,False
Loaded Deck,Massgamer,2,5900,7,22000,2017-12-02,unknown,2017-12-02,False,False
The Oldest Profession,thelightwithinrocks,1,2800,3,6100,2017-12-02,unknown,2017-12-02,False,False
Chaos Quest,Reconfigure the Citrus,1,3900,2,5200,2017-12-02,unknown,2017-12-02,True,False
Masks,Z488411,1,16000,21,148000,2017-12-02,unknown,2017-12-02,True,False
Bracket Hyphen Bracket,Lscholar,1,976,1,976,2017-11-25,unknown,2017-11-25,False,False
TTTTOOOUUURRRNNAAAMMEENNNTTT AAARRRRRCCCC,chimera0205,1,576,1,576,2017-11-25,unknown,2017-11-25,False,False
We are number one but it&apos;s Greg and he&apos;s a Superhero,Ironypus,7,7300,12,14000,2017-11-25,unknown,2017-11-25,False,True
Gunslinger,Discreet,1,2800,1,2800,2017-11-25,unknown,2017-11-25,False,True
Fully Automated Luxury Space Escalation (FALSE),IAmARobot,1,3400,1,3400,2017-11-25,unknown,2017-11-25,False,True
Worm Castings,Selector,1,1400,1,1400,2017-11-25,unknown,2017-11-25,False,True
Black Magic Woman,Fellgrave,12,22000,12,22000,2017-11-25,unknown,2017-11-25,False,False
Brockton Bay Tactics,Lord Mendasuit,1,1500,12,35000,2017-11-25,unknown,2017-11-25,False,False
A Cat Is Fine Too,CrunchySharpie,1,4100,6,25000,2017-11-25,unknown,2017-11-25,False,False
Revealed,Para_Docks,1,1900,8,10000,2017-11-25,unknown,2017-11-25,False,False
Worm in the Pages,AllenFierte,1,1900,5,8500,2017-11-25,unknown,2017-11-25,False,False
Honeybee,ajf115,1,1100,2,2800,2017-11-25,unknown,2017-11-25,False,False
Average Joe: New Game Plus,HorizonTheTransient,1,1500,51,92000,2017-11-25,unknown,2017-11-25,False,False
The Bright Wing over Anchorage,Historian,1,1400,4,5800,2017-11-25,unknown,2017-11-25,False,False
Digital Havoc: Multiversal Migraine Delivery Service,Nihilo,1,1500,11,18000,2017-11-25,unknown,2017-11-25,False,False
"Lost Cat, Please Help",Discreet,1,4800,16,49000,2017-11-25,unknown,2017-11-25,False,False
Moments We Were Free,Winged-One,1,1600,2,3600,2017-11-25,unknown,2017-11-25,False,False
Of Demons And Worms,nrsa,1,2300,6,14000,2017-11-25,unknown,2017-11-25,False,False
Same Old World,NihilisticJanitor,1,2900,5,12000,2017-11-25,unknown,2017-11-25,False,False
Taylor Costa-Brown,Omega_93,1,1600,7,28000,2017-11-25,unknown,2017-11-25,False,False
A Traveler&apos;s Guide to the Multiverse: Earth-001,MuaveineProse,1,5700,20,87000,2017-11-25,unknown,2017-11-25,False,False
Valhalla,Moonfeather,2,2200,2,2200,2017-11-25,unknown,2017-11-25,False,False
With Plasma and Adamant,RagnarokAscendant,7,10000,7,10000,2017-11-25,unknown,2017-11-25,False,False
The Sleep of Reason,Grek,5,2700,6,3500,2017-11-25,unknown,2017-11-25,True,False
I met her in a parking lot behind Arby&apos;s,IAmARobot,2,2900,2,2900,2017-11-18,unknown,2017-11-18,False,False
In the belly of the beast,Colorfull wanderer,1,1100,1,1100,2017-11-18,unknown,2017-11-18,False,False
The Nine&apos;s Slaughterhouse,Churl,1,1500,1,1500,2017-11-18,unknown,2017-11-18,False,False
Not Exactly Infamous,Inquisitor Halbread,1,2700,1,2700,2017-11-18,unknown,2017-11-18,False,False
A Storm of Blades,SeerKing,2,4500,2,4500,2017-11-18,unknown,2017-11-18,False,False
Beyond the Dreams,WastingPixies,1,2000,1,2000,2017-11-18,unknown,2017-11-18,True,False
Detention,smolandfeisty,1,1200,1,1200,2017-11-18,unknown,2017-11-18,False,True
Demonette,Harper Potts,1,1900,1,1900,2017-11-18,unknown,2017-11-18,False,True
Carnifex,IAmARobot,1,482,1,482,2017-11-18,unknown,2017-11-18,False,True
Inane Shard Functional Breakdown - Recursive Black Boxes,IAmARobot,0,0,0,0,2017-11-18,unknown,2017-11-18,False,True
Where You Go (Is Where I Want To Be),IAmARobot,1,1000,1,1000,2017-11-18,unknown,2017-11-18,False,True
Swing to the Beat,Lord Mendasuit,1,996,1,996,2017-11-18,unknown,2017-11-18,False,True
Obsidian Edge,Skairunner,1,3100,1,3100,2017-11-18,unknown,2017-11-18,False,True
Acid,BeaconHill,1,2800,5,11000,2017-11-18,unknown,2017-11-18,False,False
A State Of Mind,RarelySleeping,1,1700,12,23000,2017-11-18,unknown,2017-11-18,False,False
Destructive Arts,AngryPirate,2,7000,4,13000,2017-11-18,unknown,2017-11-18,False,False
Flame Wreathed Resolution,AmatsuMikaboshi,1,1800,3,6000,2017-11-18,unknown,2017-11-18,False,False
Rain of Blood,Rescind,1,5700,8,34000,2017-11-18,unknown,2017-11-18,False,False
Reality Check,Seij,1,3600,6,7300,2017-11-18,unknown,2017-11-18,False,False
To Burn Her Dread,Grunt8999,1,2300,3,4700,2017-11-18,unknown,2017-11-18,False,False
Virtual Family,Weaver,8,5900,8,5900,2017-11-18,unknown,2017-11-18,False,False
The Weaver,The Sleeping Knight,16,43000,16,43000,2017-11-18,unknown,2017-11-18,False,False
Wide Awake,Y3AH,1,2000,3,7300,2017-11-18,unknown,2017-11-18,False,False
Riley Medieval Fantasy Quest,SixPerfections,1,1400,3,3300,2017-11-18,unknown,2017-11-18,True,False
4th wall?,gokucheifkarkat,1,918,1,918,2017-10-28,unknown,2017-10-28,False,False
An Australian Kitsune in Brockton Bay,Ace Dreamer,4,2500,4,2500,2017-10-28,unknown,2017-10-28,False,False
Common sense is for commoners,Cergor,6,2200,6,2200,2017-10-28,unknown,2017-10-28,False,False
The Exiled,ReiZetsubou,1,3200,1,3200,2017-10-28,unknown,2017-10-28,False,False
Finding Your Voice,Mdangered,3,11000,3,11000,2017-10-28,unknown,2017-10-28,False,False
Flauros,profHoyden,2,3400,2,3400,2017-10-28,unknown,2017-10-28,False,False
Friends from the Warp,chimera0205,1,547,1,547,2017-10-28,unknown,2017-10-28,False,False
The Great Sage of Heaven,JayF,3,12000,3,12000,2017-10-28,unknown,2017-10-28,False,False
Just the Worst Luck,KrissKross,4,3900,4,3900,2017-10-28,unknown,2017-10-28,False,False
Lines of Communication,Ritic,4,3900,4,3900,2017-10-28,unknown,2017-10-28,False,False
Linkage,Slime+,1,1700,1,1700,2017-10-28,unknown,2017-10-28,False,False
The March(e) of Taylor Hebert,SouthernWind,6,11000,6,11000,2017-10-28,unknown,2017-10-28,False,False
The Naked Sword,Lokpik89,1,614,1,614,2017-10-28,unknown,2017-10-28,False,False
The Quiet,Thunderstruck!,1,948,1,948,2017-10-28,unknown,2017-10-28,False,False
Situation Is Bananas,DaveRod,1,1700,1,1700,2017-10-28,unknown,2017-10-28,False,False
This World Is Shit As Always,Glacial Heart,1,2100,1,2100,2017-10-28,unknown,2017-10-28,False,False
Trust and Dust,Morgwino,2,3900,2,3900,2017-10-28,unknown,2017-10-28,False,False
When you cant get something out of your head,VanguardFirepower,1,281,1,281,2017-10-28,unknown,2017-10-28,False,False
The Wolf of Brockton Bay,Pita,7,10000,7,10000,2017-10-28,unknown,2017-10-28,False,False
Wormiraculous,fullyellowjacket,6,10000,6,10000,2017-10-28,unknown,2017-10-28,False,False
Molly 1,Zeitchen,1,2000,1,2000,2017-10-28,unknown,2017-10-28,False,False
Alter-Ego Quest,aguy,4,7500,4,7500,2017-10-28,unknown,2017-10-28,True,False
This Is The Run,Thunderstruck!,6,3200,6,3200,2017-10-28,unknown,2017-10-28,True,False
Wings in All the Right Places,NihilisticJanitor,4,15000,4,15000,2017-10-28,unknown,2017-10-28,False,True
Jotun,ajf115,1,898,1,898,2017-10-28,unknown,2017-10-28,False,True
Witness,ajf115,1,1100,1,1100,2017-10-28,unknown,2017-10-28,False,True
Cost and Aquisition,ajf115,1,684,1,684,2017-10-28,unknown,2017-10-28,False,True
